Dataset,Depth,Mode,Threads,Time(s),Accuracy,Misclassification,TreeStructure
avila.txt,2,CPU,64,0.3160,0.539129,9617,"[0,0.21641450,[8,0.13838020,3,7],[4,0.91036570,0,4]]"
bank.txt,2,CPU,64,0.0030,0.927114,100,"[1,0.71412611,[0,0.57426810,1,0],[0,0.26502693,1,0]]"
bean.txt,2,CPU,64,0.5650,0.66145,4608,"[2,0.17494383,[12,0.52589989,0,6],[11,0.29086977,4,5]]"
bidding.txt,2,CPU,64,0.2190,0.982123,113,"[7,0.45001000,[1,0.60786533,0,1],[2,0.25005001,0,1]]"
eeg.txt,2,CPU,64,0.4810,0.669159,4956,"[5,0.34683198,[1,0.23765413,1,0],[6,0.47018027,0,1]]"
fault.txt,2,CPU,64,0.2600,0.586296,803,"[11,0.50000000,[17,0.04675123,6,2],[10,0.23285767,1,5]]"
htru.txt,2,CPU,64,0.3410,0.979383,369,"[5,0.24225587,[2,0.32594705,0,1],[2,0.28715152,0,1]]"
magic.txt,2,CPU,64,0.6260,0.803049,3746,"[8,0.31728101,[0,0.33447179,0,1],[2,0.15064648,0,1]]"
occupancy.txt,2,CPU,64,0.2510,0.989883,208,"[2,0.24444646,[2,0.22875756,1,0],[3,0.03477375,1,0]]"
page.txt,2,CPU,64,0.0390,0.953773,253,"[0,0.00196762,[6,0.00015853,0,1],[3,0.00052636,2,0]]"
raisin.txt,2,CPU,64,0.0130,0.878889,109,"[5,0.64839149,[1,0.21875535,0,1],[1,0.25527519,0,1]]"
rice.txt,2,CPU,64,0.0890,0.932546,257,"[1,0.50258470,[2,0.51148570,1,0],[2,0.48363271,1,0]]"
room.txt,2,CPU,64,0.0830,0.944812,559,"[6,0.55356073,[4,0.55756426,3,0],[5,0.90495777,1,2]]"
segment.txt,2,CPU,64,0.1070,0.571429,990,"[1,0.56873620,[8,0.57847643,1,2],[13,0.23358271,3,0]]"
skin.txt,2,CPU,64,0.2810,0.926874,17920,"[0,0.49607921,[2,0.46863371,1,0],[2,0.83718747,1,0]]"
wilt.txt,2,CPU,64,0.0850,0.971482,138,"[1,0.06082730,[2,0.03808412,1,0],1]"
avila.txt,3,CPU,64,80.0410,0.584799,8664,"[0,0.21641450,[0,0.18056348,[3,0.68755186,0,7],[8,0.13838020,3,7]],[4,0.88798213,[1,0.00804203,0,1],[2,0.06779179,4,5]]]"
bank.txt,3,CPU,64,0.0540,0.983236,23,"[2,0.23659694,[1,0.70866966,[0,0.68247366,1,0],[0,0.26284590,1,0]],[1,0.54222888,[0,0.47447777,1,0],[0,0.30326140,1,0]]]"
bean.txt,3,CPU,64,29.9400,0.871574,1748,"[12,0.43143722,[13,0.22221223,[3,0.55615884,3,2],[1,0.24278200,0,1]],[2,0.17030884,[12,0.52671266,0,6],[11,0.28985077,4,5]]]"
bidding.txt,3,CPU,64,2.1710,0.99209,50,"[8,0.55554444,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[1,0.08650230,0,[2,0.25005001,0,1]]]"
eeg.txt,3,CPU,64,34.7900,0.709613,4350,"[1,0.23765413,[5,0.34692776,[11,0.42278886,0,1],[13,0.53193331,0,1]],[6,0.47270551,[6,0.46080154,1,0],[5,0.36464834,1,0]]]"
fault.txt,3,CPU,64,11.5000,0.676971,627,"[12,0.50000000,[10,0.23638430,[13,0.13468847,1,6],[16,0.46773863,6,5]],[4,0.01159109,[4,0.00027356,3,6],[24,0.65798521,2,6]]]"
htru.txt,3,CPU,64,44.2750,0.980836,343,"[5,0.16202161,[0,0.45509243,[2,0.32580289,0,1],[2,0.29991329,0,1]],[1,0.24312085,[2,0.29925150,0,1],[2,0.27499652,0,1]]]"
magic.txt,3,CPU,64,82.6590,0.829653,3240,"[8,0.26194984,[3,0.57993627,[0,0.34942243,0,1],[2,0.17561191,0,1]],[1,0.05572616,[2,0.15082383,0,1],[0,0.09865573,0,1]]]"
occupancy.txt,3,CPU,64,12.6200,0.991002,185,"[3,0.22337115,[2,0.24471155,[2,0.22875756,1,0],[3,0.03477375,1,0]],[1,0.37324005,[2,0.24994445,1,0],[2,0.16955596,1,0]]]"
page.txt,3,CPU,64,2.6660,0.969304,168,"[3,0.00631951,[4,0.16831529,[0,0.01441843,0,3],[3,0.00052636,2,0]],[0,0.00321270,[6,0.00015853,0,1],[6,0.00419587,0,1]]]"
raisin.txt,3,CPU,64,0.6700,0.895556,94,"[1,0.25339693,[6,0.24471366,[3,0.85143644,0,1],[5,0.76668704,1,0]],[2,0.31128761,[5,0.78695428,1,0],[6,0.27186441,0,1]]]"
rice.txt,3,CPU,64,9.8490,0.93622,243,"[4,0.68913376,[6,0.29848826,[5,0.52676153,1,0],[2,0.49118784,1,0]],[0,0.40210548,[2,0.49756566,1,0],[1,0.50258470,1,0]]]"
room.txt,3,CPU,64,2.0810,0.992102,80,"[4,0.55756426,[1,0.31650728,[13,0.44525266,3,2],[3,0.59874570,2,3]],[5,0.43218410,[6,0.44465393,0,1],[6,0.63033104,1,2]]]"
segment.txt,3,CPU,64,3.4770,0.879654,278,"[11,0.15634310,[17,0.20136707,[17,0.14785661,1,6],[1,0.56873620,4,3]],[1,0.59789705,[8,0.53175199,5,2],[13,0.21417484,3,0]]]"
skin.txt,3,CPU,64,8.0730,0.96833,7761,"[0,0.49607921,[2,0.56273258,[2,0.46863371,1,0],[1,0.35493100,1,0]],[0,0.82150429,[2,0.82934588,1,0],1]]"
wilt.txt,3,CPU,64,0.9280,0.981814,88,"[2,0.03567202,[1,0.04205611,[2,0.02626651,1,0],[1,0.04211055,0,1]],[2,0.04369602,[1,0.05452356,0,1],[1,0.06345776,0,1]]]"
avila.txt,4,CPU,64,599.4520,0.63761,7562,"[0,0.22205399,[8,0.11748593,[4,0.85813737,[4,0.82829249,0,6],[0,0.21641450,3,1]],[8,0.13838020,[4,0.88798213,3,5],[2,0.07253623,7,5]]],[2,0.06468451,[1,0.00809255,[4,0.91036570,0,4],[1,0.00850683,1,0]],[1,0.00631418,[3,0.56482369,1,0],[5,0.11788422,2,0]]]]"
bank.txt,4,CPU,64,0.0930,1,0,"[0,0.52437770,[2,0.43329573,[0,0.30698895,[2,0.35915542,1,0],[1,0.66570491,1,0]],[3,0.68274260,[0,0.41756007,1,0],[1,0.39951569,1,0]]],[1,0.58999419,[3,0.84232080,[2,0.23619100,1,0],[0,0.62420982,1,0]],[1,0.69798696,[2,0.12123588,1,0],[2,0.01282927,1,0]]]]"
bean.txt,4,CPU,64,600.1470,0.907795,1255,"[14,0.36603203,[12,0.43133545,[10,0.63196695,[11,0.28974551,3,1],[0,0.44126821,3,2]],[13,0.27737421,[10,0.70465434,4,5],[6,0.07493961,6,5]]],[1,0.24566340,[11,0.61190891,[1,0.15110353,6,5],[12,0.55241549,0,6]],[0,0.38155454,[10,0.76840657,1,3],[10,0.60724127,1,2]]]]"
bidding.txt,4,CPU,64,12.6940,0.99652,22,"[8,0.55554444,[8,0.33336666,[8,0.11118889,[2,0.25005001,0,1],[2,0.74994999,0,1]],[3,0.78605920,[2,0.74994999,0,1],[2,0.25005001,0,1]]],[1,0.09737979,[1,0.08813408,0,[2,0.25005001,0,1]],[8,0.83326662,[2,0.25005001,0,1],[0,0.93412364,0,1]]]]"
eeg.txt,4,CPU,64,599.9470,0.751869,3717,"[0,0.51425195,[1,0.23538673,[5,0.34683198,[11,0.42235687,0,1],[6,0.47018027,0,1]],[6,0.46200436,[10,0.25496134,0,1],[6,0.47270551,0,1]]],[0,0.51908314,[5,0.34856525,[5,0.34192133,0,1],[6,0.47018027,0,1]],[4,0.52508271,[1,0.24188039,1,0],[5,0.36464834,1,0]]]]"
fault.txt,4,CPU,64,599.1650,0.743431,498,"[11,0.50000000,[24,0.76236743,[0,0.14699143,[23,0.35183889,6,2],[4,0.00027356,3,6]],[8,0.45074877,[13,0.47115961,0,6],[2,0.11769538,6,4]]],[13,0.13468847,[10,0.69484639,[10,0.23638430,1,6],[24,0.22537899,6,5]],[13,0.20198269,[16,0.35936058,6,5],[17,0.00484516,0,6]]]]"
