Dataset,Depth,Mode,Threads,Time(s),Accuracy,Misclassification,TreeStructure
avila.txt,2,CPU,1,0.2850,0.539129,9617,"[0,0.21641450,[8,0.13838020,3,7],[4,0.91036570,0,4]]"
avila.txt,2,GPU,1,0.0770,0.539129,9617,"[0,0.21641450,[8,0.13838020,3,7],[4,0.90290451,0,4]]"
bank.txt,2,CPU,1,0.0020,0.927114,100,"[1,0.71412611,[0,0.57426810,1,0],[0,0.26502693,1,0]]"
bank.txt,2,GPU,1,0.0050,0.925656,102,"[1,0.71029520,[0,0.56975865,1,0],[0,0.22409229,1,0]]"
bean.txt,2,CPU,1,0.5540,0.66145,4608,"[2,0.17494383,[12,0.52589989,0,6],[11,0.29086977,4,5]]"
bean.txt,2,GPU,1,0.0900,0.661009,4614,"[2,0.17032206,[12,0.52529955,0,6],[11,0.29063049,4,5]]"
bidding.txt,2,CPU,1,0.2160,0.982123,113,"[7,0.45001000,[1,0.60786533,0,1],[2,0.25005001,0,1]]"
bidding.txt,2,GPU,1,0.0080,0.982123,113,"[7,0.16673332,[1,0.60862195,0,1],[2,0.25005001,0,1]]"
eeg.txt,2,CPU,1,0.4720,0.669159,4956,"[5,0.34683198,[1,0.23765413,1,0],[6,0.47018027,0,1]]"
eeg.txt,2,GPU,1,0.0340,0.669159,4956,"[5,0.34683198,[1,0.23765413,1,0],[6,0.47018027,0,1]]"
fault.txt,2,CPU,1,0.2680,0.586296,803,"[11,0.50000000,[17,0.04675123,6,2],[10,0.23285767,1,5]]"
fault.txt,2,GPU,1,0.0250,0.585781,804,"[11,0.50000000,[17,0.04572216,6,2],[10,0.23285767,1,5]]"
htru.txt,2,CPU,1,0.4750,0.979383,369,"[5,0.24225587,[2,0.32594705,0,1],[2,0.28715152,0,1]]"
htru.txt,2,GPU,1,0.0270,0.979048,375,"[5,0.21282570,[2,0.32256883,0,1],[2,0.28808659,0,1]]"
magic.txt,2,CPU,1,0.7020,0.803049,3746,"[8,0.31728101,[0,0.33447179,0,1],[2,0.15064648,0,1]]"
magic.txt,2,GPU,1,0.0360,0.802366,3759,"[8,0.31738210,[0,0.34465700,0,1],[2,0.14805976,0,1]]"
occupancy.txt,2,CPU,1,0.2500,0.989883,208,"[2,0.24444646,[2,0.22875756,1,0],[3,0.03477375,1,0]]"
occupancy.txt,2,GPU,1,0.0110,0.989689,212,"[2,0.24235527,[2,0.22114873,1,0],[3,0.03384231,1,0]]"
page.txt,2,CPU,1,0.0380,0.953773,253,"[0,0.00196762,[6,0.00015853,0,1],[3,0.00052636,2,0]]"
page.txt,2,GPU,1,0.0150,0.952677,259,"[0,0.00196762,[6,0.00014339,0,1],[3,0.00072931,2,0]]"
raisin.txt,2,CPU,1,0.0130,0.878889,109,"[5,0.64839149,[1,0.21875535,0,1],[1,0.25527519,0,1]]"
raisin.txt,2,GPU,1,0.0050,0.875556,112,"[5,0.64883745,[1,0.21781608,0,1],[1,0.25756994,0,1]]"
