Dataset,Depth,Mode,Threads,Time(s),Accuracy,Misclassification,TreeStructure
avila.txt,2,GPU,1,61.1140,0.539129,9617,"[0,0.21641450,[8,0.13838020,3,7],[4,0.90290451,0,4]]"
bank.txt,2,GPU,1,0.0210,0.927114,100,"[1,0.70522410,[0,0.57417190,1,0],[0,0.23298940,1,0]]"
bean.txt,2,GPU,1,0.2990,0.66145,4608,"[2,0.17494383,[12,0.52589989,0,6],[11,0.29086977,4,5]]"
bidding.txt,2,GPU,1,0.3260,0.982123,113,"[7,0.16673332,[1,0.60083961,0,1],[2,0.25005001,0,1]]"
eeg.txt,2,GPU,1,0.1400,0.669159,4956,"[5,0.34683198,[1,0.23765413,1,0],[6,0.47018027,0,1]]"
fault.txt,2,GPU,1,0.7430,0.586296,803,"[11,0.50000000,[17,0.04675123,6,2],[10,0.23285767,1,5]]"
htru.txt,2,GPU,1,90.8500,0.979383,369,"[5,0.18651244,[2,0.32558846,0,1],[2,0.28018394,0,1]]"
magic.txt,2,GPU,1,142.9670,0.803049,3746,"[8,0.31728101,[0,0.33445922,0,1],[2,0.15064648,0,1]]"
occupancy.txt,2,GPU,1,1.5730,0.989883,208,"[2,0.24387702,[2,0.22875756,1,0],[3,0.03477375,1,0]]"
page.txt,2,GPU,1,0.3140,0.953773,253,"[0,0.00196762,[6,0.00014137,0,1],[3,0.00052636,2,0]]"
raisin.txt,2,GPU,1,0.0220,0.878889,109,"[5,0.64767802,[1,0.21872613,0,1],[1,0.25507462,0,1]]"
rice.txt,2,GPU,1,0.7930,0.932546,257,"[1,0.50123823,[2,0.51110518,1,0],[2,0.48284554,1,0]]"
room.txt,2,GPU,1,0.0570,0.944812,559,"[6,0.45001000,[4,0.55756426,3,0],[5,0.90495777,1,2]]"
segment.txt,2,GPU,1,0.3400,0.571429,990,"[1,0.56873620,[8,0.57847643,1,2],[13,0.23358271,3,0]]"
skin.txt,2,GPU,1,0.0980,0.926874,17920,"[0,0.49607921,[2,0.46863371,1,0],[2,0.83718747,1,0]]"
wilt.txt,2,GPU,1,0.7860,0.971482,138,"[1,0.06081973,[2,0.03807213,1,0],[1,0.06082730,0,1]]"
avila.txt,3,GPU,1,603.0950,0.577227,8822,"[0,0.22124833,[8,0.11496602,[1,0.00540479,3,0],[8,0.13691024,3,7]],[2,0.06468451,[4,0.90290451,0,4],[3,0.56353891,1,0]]]"
